case_id,crime_id,case_status,investigation_days,fine_amount,court_status,case_priority
CASE001270,C001270,Pending,5,2886,Ongoing,Low
CASE001271,C001271,Solved,250,50702,Closed,Low
CASE001272,C001272,Under Investigation,162,93135,Ongoing,Medium
CASE001273,C001273,Pending,96,18511,Hearing,Low
CASE001274,C001274,Under Investigation,350,57406,Ongoing,Medium
CASE001275,C001275,Solved,259,27464,Hearing,High
CASE001276,C001276,Pending,6,99875,Closed,High
CASE001277,C001277,Solved,274,68945,Closed,Low
CASE001278,C001278,Solved,23,37648,Ongoing,Medium
CASE001279,C001279,Solved,93,26116,Hearing,High
CASE001280,C001280,Solved,211,38529,Ongoing,Low
CASE001281,C001281,Pending,84,53687,Hearing,Medium
CASE001282,C001282,Solved,359,42342,Closed,Medium
CASE001283,C001283,Solved,91,32122,Hearing,Low
CASE001284,C001284,Solved,360,46053,Hearing,Medium
CASE001285,C001285,Solved,188,9130,Closed,High
CASE001286,C001286,Solved,44,97337,Hearing,High
CASE001287,C001287,Solved,362,9218,Ongoing,Low
CASE001288,C001288,Solved,270,69817,Hearing,High
CASE001289,C001289,Solved,114,81022,Closed,Medium
CASE001290,C001290,Under Investigation,156,55000,Hearing,Low
CASE001291,C001291,Solved,70,45752,Hearing,Low
CASE001292,C001292,Solved,38,92864,Hearing,High
CASE001293,C001293,Solved,9,45211,Ongoing,Low
CASE001294,C001294,Solved,120,73873,Ongoing,High
CASE001295,C001295,Under Investigation,196,20661,Closed,Medium
CASE001296,C001296,Pending,227,53161,Hearing,Medium
CASE001297,C001297,Solved,128,84405,Hearing,High
CASE001298,C001298,Pending,33,77659,Ongoing,Medium
CASE001299,C001299,Pending,100,76321,Closed,Low
CASE001300,C001300,Solved,83,84018,Closed,Medium
CASE001301,C001301,Solved,250,56019,Closed,High
CASE001302,C001302,Under Investigation,314,91264,Closed,Low
CASE001303,C001303,Pending,338,72029,Ongoing,Medium
CASE001304,C001304,Solved,217,62211,Hearing,Low
CASE001305,C001305,Pending,318,16811,Hearing,Medium
CASE001306,C001306,Solved,90,15118,Hearing,High
CASE001307,C001307,Solved,312,23725,Closed,Low
CASE001308,C001308,Solved,226,16139,Hearing,Medium
CASE001309,C001309,Solved,244,12295,Hearing,Medium
CASE001310,C001310,Solved,176,81073,Closed,High
CASE001311,C001311,Under Investigation,39,62992,Hearing,Low
CASE001312,C001312,Solved,349,66940,Closed,Medium
CASE001313,C001313,Solved,96,22952,Closed,High
CASE001314,C001314,Pending,123,5839,Ongoing,High
CASE001315,C001315,Solved,9,5311,Closed,High
CASE001316,C001316,Solved,186,59038,Closed,Low
CASE001317,C001317,Solved,56,94995,Hearing,Low
CASE001318,C001318,Solved,198,37059,Hearing,Medium
CASE001319,C001319,Under Investigation,270,39829,Ongoing,High
CASE001320,C001320,Solved,206,46304,Closed,Low
CASE001321,C001321,Under Investigation,123,39644,Hearing,Low
CASE001322,C001322,Solved,184,90999,Hearing,Low
CASE001323,C001323,Pending,322,96753,Closed,Low
CASE001324,C001324,Under Investigation,96,83496,Ongoing,Medium
CASE001325,C001325,Solved,259,98674,Hearing,High
CASE001326,C001326,Solved,43,2562,Hearing,Medium
CASE001327,C001327,Solved,289,66744,Hearing,High
CASE001328,C001328,Solved,80,58862,Closed,Medium
CASE001329,C001329,Solved,341,35291,Closed,High
CASE001330,C001330,Under Investigation,85,9795,Ongoing,Medium
CASE001331,C001331,Solved,298,27681,Ongoing,Medium
CASE001332,C001332,Solved,224,20519,Ongoing,High
CASE001333,C001333,Solved,304,54131,Ongoing,Medium
CASE001334,C001334,Under Investigation,357,37566,Ongoing,High
CASE001335,C001335,Pending,203,43188,Ongoing,High
CASE001336,C001336,Under Investigation,194,31615,Closed,High
CASE001337,C001337,Pending,166,74861,Closed,Medium
CASE001338,C001338,Solved,344,40063,Hearing,High
CASE001339,C001339,Solved,270,93156,Closed,High
CASE001340,C001340,Under Investigation,61,45497,Hearing,High
CASE001341,C001341,Solved,286,73391,Hearing,High
CASE001342,C001342,Under Investigation,277,84793,Ongoing,High
CASE001343,C001343,Solved,6,55112,Hearing,High
CASE001344,C001344,Solved,23,30330,Closed,Medium
CASE001345,C001345,Solved,236,4489,Hearing,Medium
CASE001346,C001346,Solved,107,11404,Hearing,Low
CASE001347,C001347,Pending,58,8396,Closed,Low
CASE001348,C001348,Under Investigation,211,41539,Closed,Low
CASE001349,C001349,Pending,190,86441,Ongoing,Low
CASE001350,C001350,Solved,33,82092,Ongoing,Medium
CASE001351,C001351,Pending,224,34703,Hearing,Medium
CASE001352,C001352,Solved,267,58184,Ongoing,Medium
CASE001353,C001353,Under Investigation,6,25880,Hearing,High
CASE001354,C001354,Solved,252,90820,Hearing,High
CASE001355,C001355,Under Investigation,77,45180,Ongoing,High
CASE001356,C001356,Pending,225,70042,Closed,Low
CASE001357,C001357,Solved,43,62021,Hearing,Medium
CASE001358,C001358,Solved,95,90872,Closed,Medium
CASE001359,C001359,Pending,361,93383,Closed,Medium
CASE001360,C001360,Solved,77,6087,Hearing,Low
CASE001361,C001361,Solved,20,55501,Hearing,High
CASE001362,C001362,Pending,335,21614,Closed,Low
CASE001363,C001363,Solved,153,27245,Closed,High
CASE001364,C001364,Solved,273,87708,Hearing,Low
CASE001365,C001365,Solved,139,32285,Hearing,High
CASE001366,C001366,Under Investigation,75,73070,Closed,Medium
CASE001367,C001367,Solved,26,92200,Ongoing,High
CASE001368,C001368,Solved,126,52591,Ongoing,Medium
CASE001369,C001369,Under Investigation,358,68067,Hearing,High
CASE001370,C001370,Pending,265,52177,Closed,Low
CASE001371,C001371,Pending,207,75763,Ongoing,High
CASE001372,C001372,Solved,316,88508,Closed,Medium
CASE001373,C001373,Pending,66,57448,Hearing,Medium
CASE001374,C001374,Pending,249,9313,Hearing,Low
CASE001375,C001375,Solved,361,86452,Ongoing,High
CASE001376,C001376,Solved,173,37735,Hearing,Low
CASE001377,C001377,Solved,320,80246,Closed,Medium
CASE001378,C001378,Solved,62,84250,Closed,Medium
CASE001379,C001379,Solved,153,64185,Hearing,Medium
CASE001380,C001380,Solved,230,80438,Hearing,Medium
CASE001381,C001381,Solved,305,14359,Hearing,Medium
CASE001382,C001382,Solved,81,35875,Ongoing,High
CASE001383,C001383,Solved,350,22236,Ongoing,Medium
CASE001384,C001384,Pending,129,24345,Closed,Medium
CASE001385,C001385,Solved,215,17864,Ongoing,High
CASE001386,C001386,Pending,115,85897,Hearing,High
CASE001387,C001387,Solved,132,33927,Closed,Medium
CASE001388,C001388,Pending,34,20411,Hearing,Medium
CASE001389,C001389,Solved,353,92391,Closed,Low
CASE001390,C001390,Solved,307,35084,Hearing,Medium
CASE001391,C001391,Solved,119,55232,Closed,Medium
CASE001392,C001392,Solved,62,51128,Hearing,Medium
CASE001393,C001393,Pending,11,4162,Ongoing,High
CASE001394,C001394,Solved,69,14660,Ongoing,Medium
CASE001395,C001395,Solved,332,10628,Ongoing,High
CASE001396,C001396,Solved,106,51349,Closed,Medium
CASE001397,C001397,Pending,266,12882,Closed,High
CASE001398,C001398,Solved,15,81910,Hearing,High
CASE001399,C001399,Solved,121,36836,Ongoing,Low
CASE001400,C001400,Pending,61,31070,Closed,High
CASE001401,C001401,Solved,299,95524,Ongoing,Low
CASE001402,C001402,Solved,324,68068,Hearing,Medium
CASE001403,C001403,Under Investigation,345,54712,Closed,Low
CASE001404,C001404,Under Investigation,113,16132,Hearing,Medium
CASE001405,C001405,Pending,340,65167,Closed,Low
CASE001406,C001406,Solved,161,53876,Closed,High
CASE001407,C001407,Pending,25,29986,Ongoing,Low
CASE001408,C001408,Pending,354,58406,Hearing,Medium
CASE001409,C001409,Under Investigation,153,94637,Hearing,High
CASE001410,C001410,Under Investigation,58,86300,Hearing,High
CASE001411,C001411,Solved,271,48061,Closed,Medium
CASE001412,C001412,Under Investigation,273,34962,Ongoing,Medium
CASE001413,C001413,Pending,70,34312,Closed,Medium
CASE001414,C001414,Pending,105,24833,Hearing,Medium
CASE001415,C001415,Solved,362,25210,Ongoing,Low
CASE001416,C001416,Under Investigation,233,71641,Ongoing,Medium
CASE001417,C001417,Solved,39,82336,Ongoing,High
CASE001418,C001418,Solved,109,98919,Closed,Medium
CASE001419,C001419,Pending,35,7078,Closed,High
CASE001420,C001420,Pending,225,91986,Ongoing,Medium
CASE001421,C001421,Under Investigation,303,75546,Closed,Low
CASE001422,C001422,Solved,7,51406,Ongoing,Low
CASE001423,C001423,Under Investigation,144,11767,Closed,Low
CASE001424,C001424,Solved,360,6105,Closed,Low
CASE001425,C001425,Pending,277,33200,Closed,Medium
CASE001426,C001426,Solved,117,80128,Ongoing,High
CASE001427,C001427,Solved,193,61490,Closed,High
CASE001428,C001428,Solved,361,99566,Ongoing,Low
CASE001429,C001429,Pending,119,99245,Ongoing,Medium
CASE001430,C001430,Solved,14,46611,Hearing,Medium
CASE001431,C001431,Solved,105,49701,Closed,Medium
CASE001432,C001432,Pending,164,18475,Closed,Low
CASE001433,C001433,Pending,208,93739,Ongoing,Low
CASE001434,C001434,Solved,293,65040,Ongoing,Medium
CASE001435,C001435,Solved,73,82017,Ongoing,Low
CASE001436,C001436,Solved,163,69328,Hearing,Medium
CASE001437,C001437,Pending,110,81163,Ongoing,Medium
CASE001438,C001438,Solved,353,51646,Ongoing,High
CASE001439,C001439,Solved,323,85488,Hearing,Medium
CASE001440,C001440,Under Investigation,211,21593,Ongoing,Medium
CASE001441,C001441,Solved,115,8264,Ongoing,Medium
CASE001442,C001442,Solved,110,56199,Hearing,Low
CASE001443,C001443,Solved,362,10470,Closed,Medium
CASE001444,C001444,Solved,42,98149,Ongoing,Medium
CASE001445,C001445,Solved,191,32493,Hearing,Medium
CASE001446,C001446,Solved,324,88951,Closed,High
CASE001447,C001447,Solved,13,47041,Hearing,Medium
CASE001448,C001448,Pending,226,84625,Hearing,Low
CASE001449,C001449,Pending,289,60643,Hearing,Low
CASE001450,C001450,Pending,69,29175,Hearing,Medium
CASE001451,C001451,Solved,51,41102,Closed,Medium
CASE001452,C001452,Under Investigation,26,46127,Closed,Medium
CASE001453,C001453,Pending,355,27883,Ongoing,Medium
CASE001454,C001454,Solved,251,75242,Hearing,Medium
CASE001455,C001455,Solved,38,26392,Closed,Medium
CASE001456,C001456,Solved,359,28210,Hearing,Low
CASE001457,C001457,Solved,301,12077,Hearing,Medium
CASE001458,C001458,Solved,313,60528,Closed,Medium
CASE001459,C001459,Solved,318,1230,Ongoing,High
CASE001460,C001460,Solved,239,43818,Closed,High
CASE001461,C001461,Pending,137,4894,Ongoing,Medium
CASE001462,C001462,Pending,63,19805,Hearing,Medium
CASE001463,C001463,Under Investigation,7,67801,Ongoing,Low
CASE001464,C001464,Solved,232,31597,Closed,Medium
CASE001465,C001465,Solved,48,74062,Hearing,High
CASE001466,C001466,Under Investigation,234,4187,Ongoing,Low
CASE001467,C001467,Solved,35,45385,Closed,Medium
CASE001468,C001468,Solved,184,66512,Hearing,Medium
CASE001469,C001469,Pending,322,98718,Ongoing,High
CASE001470,C001470,Under Investigation,270,43226,Hearing,Medium
CASE001471,C001471,Pending,310,35053,Hearing,Medium
CASE001472,C001472,Solved,282,4182,Ongoing,Low
CASE001473,C001473,Solved,63,35559,Hearing,Medium
CASE001474,C001474,Solved,184,50156,Hearing,High
CASE001475,C001475,Under Investigation,12,72104,Closed,Medium
CASE001476,C001476,Pending,12,71892,Closed,Medium
CASE001477,C001477,Under Investigation,287,40050,Ongoing,High
CASE001478,C001478,Pending,326,42525,Closed,High
CASE001479,C001479,Solved,239,80042,Hearing,Medium
CASE001480,C001480,Pending,76,97429,Ongoing,Low
CASE001481,C001481,Solved,126,37757,Closed,High
CASE001482,C001482,Solved,90,10409,Ongoing,High
CASE001483,C001483,Solved,122,4928,Closed,Low
CASE001484,C001484,Solved,64,35057,Ongoing,High
CASE001485,C001485,Solved,239,40681,Ongoing,Medium
CASE001486,C001486,Solved,327,3702,Ongoing,High
CASE001487,C001487,Solved,113,68404,Ongoing,Low
CASE001488,C001488,Solved,296,81578,Ongoing,High
CASE001489,C001489,Solved,21,88487,Closed,Medium
CASE001490,C001490,Solved,274,94198,Closed,Low
CASE001491,C001491,Solved,126,77383,Hearing,High
CASE001492,C001492,Pending,347,51192,Ongoing,Low
CASE001493,C001493,Solved,68,75619,Hearing,Low
CASE001494,C001494,Pending,167,21425,Closed,Medium
CASE001495,C001495,Pending,347,88642,Ongoing,Medium
CASE001496,C001496,Solved,294,75719,Hearing,High
CASE001497,C001497,Under Investigation,357,29847,Ongoing,Medium
CASE001498,C001498,Solved,350,77723,Ongoing,High
CASE001499,C001499,Solved,201,61115,Ongoing,Low
CASE001500,C001500,Under Investigation,283,17133,Closed,Low
CASE001501,C001501,Pending,308,65634,Closed,Low
CASE001502,C001502,Pending,233,14762,Ongoing,Medium
CASE001503,C001503,Solved,313,39780,Closed,Low
CASE001504,C001504,Solved,8,66228,Hearing,Medium
CASE001505,C001505,Under Investigation,199,62251,Hearing,Low
CASE001506,C001506,Solved,80,95369,Closed,High
CASE001507,C001507,Solved,166,59422,Ongoing,Medium
CASE001508,C001508,Solved,309,10176,Closed,Medium
CASE001509,C001509,Under Investigation,293,42795,Ongoing,Low
CASE001510,C001510,Solved,220,62512,Closed,Low
CASE001511,C001511,Solved,121,70914,Hearing,Medium
CASE001512,C001512,Solved,171,58152,Ongoing,High
CASE001513,C001513,Solved,180,58920,Ongoing,High
CASE001514,C001514,Solved,138,53204,Ongoing,Low
CASE001515,C001515,Solved,22,5305,Closed,Medium
CASE001516,C001516,Solved,8,62287,Hearing,Low
CASE001517,C001517,Under Investigation,291,89755,Closed,Medium
CASE001518,C001518,Solved,288,45604,Hearing,Low
CASE001519,C001519,Solved,15,42997,Closed,Medium
CASE001520,C001520,Solved,14,15999,Closed,Medium
CASE001521,C001521,Solved,175,63566,Ongoing,Medium
CASE001522,C001522,Pending,357,81428,Closed,Medium
CASE001523,C001523,Pending,315,4842,Closed,High
CASE001524,C001524,Solved,255,15985,Hearing,High
CASE001525,C001525,Pending,149,41314,Ongoing,High
CASE001526,C001526,Solved,310,37880,Hearing,High
CASE001527,C001527,Pending,334,87899,Hearing,High
CASE001528,C001528,Under Investigation,161,65337,Ongoing,Low
CASE001529,C001529,Pending,340,86000,Ongoing,High
CASE001530,C001530,Pending,291,21437,Hearing,Low
CASE001531,C001531,Pending,135,31887,Hearing,Medium
CASE001532,C001532,Solved,45,84370,Ongoing,Medium
CASE001533,C001533,Solved,320,38105,Ongoing,Low
CASE001534,C001534,Pending,180,55222,Closed,Medium
CASE001535,C001535,Solved,52,6030,Ongoing,Medium
CASE001536,C001536,Solved,249,92939,Hearing,Medium
CASE001537,C001537,Solved,266,78216,Hearing,High
CASE001538,C001538,Solved,41,79035,Hearing,Low
CASE001539,C001539,Solved,327,70664,Hearing,Low
CASE001540,C001540,Under Investigation,240,99819,Closed,Low
CASE001541,C001541,Solved,213,23716,Hearing,Low
CASE001542,C001542,Solved,34,37308,Ongoing,High
CASE001543,C001543,Under Investigation,186,87419,Ongoing,Low
CASE001544,C001544,Solved,144,95107,Closed,High
CASE001545,C001545,Solved,361,93044,Closed,High
CASE001546,C001546,Solved,207,51922,Hearing,Low
CASE001547,C001547,Solved,98,38632,Ongoing,Low
CASE001548,C001548,Solved,106,35771,Hearing,High
CASE001549,C001549,Under Investigation,226,26535,Hearing,Low
CASE001550,C001550,Solved,123,18504,Ongoing,High
CASE001551,C001551,Solved,41,63967,Hearing,Low
CASE001552,C001552,Under Investigation,115,51660,Closed,High
CASE001553,C001553,Pending,309,44583,Hearing,Medium
CASE001554,C001554,Solved,355,16522,Hearing,Medium
CASE001555,C001555,Solved,280,33127,Hearing,Low
CASE001556,C001556,Solved,50,58199,Hearing,Medium
CASE001557,C001557,Solved,206,40152,Hearing,Medium
CASE001558,C001558,Under Investigation,51,91662,Ongoing,Low
CASE001559,C001559,Solved,141,51264,Hearing,Medium
CASE001560,C001560,Solved,42,90697,Ongoing,Low
CASE001561,C001561,Solved,346,19759,Closed,Medium
CASE001562,C001562,Solved,66,90945,Closed,High
CASE001563,C001563,Solved,231,82146,Closed,Low
CASE001564,C001564,Solved,283,81410,Hearing,High
CASE001565,C001565,Under Investigation,7,67967,Ongoing,Medium
CASE001566,C001566,Solved,72,45533,Hearing,High
CASE001567,C001567,Under Investigation,248,76549,Hearing,Medium
CASE001568,C001568,Solved,179,79461,Closed,Medium
CASE001569,C001569,Solved,235,48008,Hearing,Low
CASE001570,C001570,Solved,209,79530,Closed,Low
CASE001571,C001571,Under Investigation,114,62970,Hearing,High
CASE001572,C001572,Solved,269,39078,Hearing,High
CASE001573,C001573,Under Investigation,96,21798,Hearing,Low
CASE001574,C001574,Under Investigation,291,66959,Closed,Medium
CASE001575,C001575,Solved,117,96413,Hearing,High
CASE001576,C001576,Under Investigation,116,10594,Ongoing,High
CASE001577,C001577,Solved,113,22488,Hearing,High
CASE001578,C001578,Solved,283,16612,Ongoing,Low
CASE001579,C001579,Solved,51,94282,Closed,Low
CASE001580,C001580,Under Investigation,252,85786,Hearing,Medium
CASE001581,C001581,Solved,329,70427,Closed,High
CASE001582,C001582,Pending,109,39823,Hearing,High
CASE001583,C001583,Solved,219,44036,Ongoing,High
CASE001584,C001584,Solved,109,99466,Hearing,High
CASE001585,C001585,Pending,190,89277,Ongoing,Low
CASE001586,C001586,Solved,351,46539,Ongoing,Medium
CASE001587,C001587,Pending,80,51236,Ongoing,High
CASE001588,C001588,Solved,87,64920,Hearing,Low
CASE001589,C001589,Pending,110,37214,Hearing,Medium
CASE001590,C001590,Pending,256,70128,Closed,Medium
CASE001591,C001591,Solved,261,79809,Closed,Medium
CASE001592,C001592,Solved,99,9080,Ongoing,Medium
CASE001593,C001593,Pending,171,68892,Closed,High
CASE001594,C001594,Solved,137,40335,Hearing,High
CASE001595,C001595,Pending,359,63309,Ongoing,Low
CASE001596,C001596,Solved,175,67271,Closed,Medium
CASE001597,C001597,Solved,348,82663,Hearing,High
CASE001598,C001598,Pending,185,66950,Closed,Medium
CASE001599,C001599,Under Investigation,154,88691,Hearing,Low
CASE001600,C001600,Under Investigation,356,58959,Hearing,High
CASE001601,C001601,Solved,242,13399,Closed,Low
CASE001602,C001602,Under Investigation,68,43848,Closed,High
CASE001603,C001603,Pending,133,39787,Hearing,Medium
CASE001604,C001604,Solved,136,6349,Closed,High
CASE001605,C001605,Solved,228,37783,Closed,High
CASE001606,C001606,Under Investigation,273,77551,Closed,Medium
CASE001607,C001607,Solved,36,81746,Hearing,Low
CASE001608,C001608,Solved,338,46808,Closed,High
CASE001609,C001609,Solved,67,15579,Ongoing,High
CASE001610,C001610,Solved,35,52623,Ongoing,High
CASE001611,C001611,Solved,62,52198,Hearing,Low
CASE001612,C001612,Solved,330,85723,Hearing,Low
CASE001613,C001613,Solved,89,90482,Ongoing,High
CASE001614,C001614,Pending,282,70339,Ongoing,High
CASE001615,C001615,Solved,237,13094,Ongoing,Low
CASE001616,C001616,Pending,265,87098,Closed,Medium
CASE001617,C001617,Solved,27,17076,Closed,Low
CASE001618,C001618,Solved,70,17252,Closed,Low
CASE001619,C001619,Solved,87,97082,Hearing,Low
CASE001620,C001620,Solved,206,13401,Ongoing,Medium
CASE001621,C001621,Solved,339,72144,Closed,Low
CASE001622,C001622,Under Investigation,164,21690,Closed,Low
CASE001623,C001623,Solved,48,55962,Closed,Medium
CASE001624,C001624,Under Investigation,328,93551,Closed,Low
CASE001625,C001625,Solved,241,41875,Hearing,High
CASE001626,C001626,Solved,37,10272,Hearing,Medium
CASE001627,C001627,Solved,280,46276,Hearing,Low
CASE001628,C001628,Under Investigation,61,2824,Closed,High
CASE001629,C001629,Pending,177,1479,Hearing,Low
CASE001630,C001630,Solved,204,63991,Closed,Medium
CASE001631,C001631,Under Investigation,102,80759,Hearing,Medium
CASE001632,C001632,Under Investigation,352,52986,Closed,Low
CASE001633,C001633,Pending,132,97488,Closed,Low
CASE001634,C001634,Pending,215,93010,Hearing,High
CASE001635,C001635,Solved,77,27193,Hearing,High
CASE001636,C001636,Solved,44,6322,Ongoing,High
CASE001637,C001637,Solved,225,90613,Hearing,Medium
CASE001638,C001638,Solved,165,96321,Hearing,Medium
CASE001639,C001639,Solved,252,25756,Hearing,Low
CASE001640,C001640,Pending,239,79651,Hearing,High
CASE001641,C001641,Solved,249,44319,Ongoing,Low
CASE001642,C001642,Solved,198,5230,Closed,Medium
CASE001643,C001643,Solved,218,56827,Closed,High
CASE001644,C001644,Solved,78,33364,Closed,Medium
CASE001645,C001645,Solved,250,64919,Ongoing,Medium
CASE001646,C001646,Solved,143,41913,Ongoing,Low
CASE001647,C001647,Pending,301,86201,Hearing,High
CASE001648,C001648,Solved,220,64863,Closed,High
CASE001649,C001649,Solved,329,57954,Closed,Low
CASE001650,C001650,Solved,334,45842,Ongoing,Medium
CASE001651,C001651,Solved,162,21101,Ongoing,Medium
CASE001652,C001652,Under Investigation,177,45521,Hearing,Low
CASE001653,C001653,Solved,242,16395,Hearing,Medium
CASE001654,C001654,Under Investigation,120,59051,Hearing,Low
CASE001655,C001655,Under Investigation,325,98666,Hearing,Low
CASE001656,C001656,Solved,71,26757,Ongoing,High
CASE001657,C001657,Pending,124,62580,Closed,Low
CASE001658,C001658,Solved,63,20429,Closed,Low
CASE001659,C001659,Solved,60,68924,Closed,Medium
CASE001660,C001660,Under Investigation,247,48579,Hearing,Medium
CASE001661,C001661,Pending,151,98408,Closed,Medium
CASE001662,C001662,Solved,330,97889,Hearing,Medium
CASE001663,C001663,Solved,307,47155,Closed,Low
CASE001664,C001664,Pending,272,97469,Hearing,Low
CASE001665,C001665,Solved,14,7370,Ongoing,Low
CASE001666,C001666,Pending,170,74289,Hearing,Low
CASE001667,C001667,Solved,285,47839,Hearing,Low
CASE001668,C001668,Pending,358,13643,Closed,Medium
CASE001669,C001669,Solved,65,54019,Closed,Medium
CASE001670,C001670,Pending,293,77824,Closed,Medium
CASE001671,C001671,Solved,265,5967,Closed,High
CASE001672,C001672,Solved,221,9771,Ongoing,Medium
CASE001673,C001673,Under Investigation,191,56567,Closed,Low
CASE001674,C001674,Solved,39,9052,Hearing,Medium
CASE001675,C001675,Under Investigation,64,42868,Hearing,Medium
CASE001676,C001676,Solved,328,84341,Closed,Medium
CASE001677,C001677,Under Investigation,283,51045,Hearing,Medium
CASE001678,C001678,Pending,75,87875,Ongoing,High
CASE001679,C001679,Solved,38,93276,Closed,Medium
CASE001680,C001680,Solved,162,20140,Hearing,High
CASE001681,C001681,Solved,70,87943,Ongoing,Low
CASE001682,C001682,Pending,273,51373,Ongoing,Low
CASE001683,C001683,Pending,62,94388,Ongoing,Medium
CASE001684,C001684,Solved,84,40780,Hearing,Medium
CASE001685,C001685,Solved,56,98125,Ongoing,Low
CASE001686,C001686,Solved,241,66826,Closed,High
CASE001687,C001687,Under Investigation,119,11150,Closed,Medium
CASE001688,C001688,Solved,353,57385,Hearing,Medium
CASE001689,C001689,Pending,10,30506,Hearing,Medium
CASE001690,C001690,Pending,233,16206,Closed,High
CASE001691,C001691,Solved,76,18892,Hearing,Medium
CASE001692,C001692,Solved,315,22806,Ongoing,Low
CASE001693,C001693,Pending,111,70392,Hearing,Low
CASE001694,C001694,Pending,91,54549,Ongoing,High
CASE001695,C001695,Solved,304,13050,Closed,Medium
CASE001696,C001696,Solved,319,48036,Hearing,Medium
CASE001697,C001697,Solved,172,93699,Ongoing,High
CASE001698,C001698,Pending,267,86822,Closed,Medium
CASE001699,C001699,Under Investigation,306,80894,Closed,Medium
CASE001700,C001700,Solved,48,15051,Closed,High
CASE001701,C001701,Solved,118,79231,Ongoing,High
CASE001702,C001702,Solved,310,23060,Closed,Low
CASE001703,C001703,Pending,196,14566,Closed,Low
CASE001704,C001704,Solved,323,47490,Closed,Medium
CASE001705,C001705,Solved,363,91249,Hearing,Low
CASE001706,C001706,Under Investigation,306,63202,Ongoing,Medium
CASE001707,C001707,Solved,193,7062,Ongoing,Low
CASE001708,C001708,Solved,115,8034,Ongoing,High
CASE001709,C001709,Pending,170,12956,Hearing,Low
CASE001710,C001710,Solved,296,17587,Closed,Medium
CASE001711,C001711,Under Investigation,88,88410,Ongoing,Medium
CASE001712,C001712,Solved,6,88771,Ongoing,High
CASE001713,C001713,Solved,87,36886,Ongoing,High
CASE001714,C001714,Solved,145,52801,Closed,Low
CASE001715,C001715,Solved,315,57035,Hearing,Low
CASE001716,C001716,Solved,146,10291,Ongoing,High
CASE001717,C001717,Pending,201,56058,Hearing,Medium
CASE001718,C001718,Solved,208,79525,Hearing,High
CASE001719,C001719,Under Investigation,122,95688,Closed,High
CASE001720,C001720,Pending,348,50510,Closed,Low
CASE001721,C001721,Solved,176,48218,Hearing,Medium
CASE001722,C001722,Solved,94,38417,Ongoing,Medium
CASE001723,C001723,Solved,187,57077,Hearing,Medium
CASE001724,C001724,Solved,346,90503,Ongoing,Medium
CASE001725,C001725,Solved,59,52176,Ongoing,High
CASE001726,C001726,Pending,140,41206,Closed,Low
CASE001727,C001727,Under Investigation,166,93274,Closed,Medium
CASE001728,C001728,Under Investigation,201,76698,Ongoing,High
CASE001729,C001729,Solved,356,37401,Hearing,Low
CASE001730,C001730,Pending,49,57531,Closed,High
CASE001731,C001731,Solved,222,62746,Ongoing,Low
CASE001732,C001732,Solved,289,93246,Closed,Medium
CASE001733,C001733,Solved,60,93229,Ongoing,Low
CASE001734,C001734,Solved,225,87184,Closed,Low
CASE001735,C001735,Solved,101,41384,Hearing,High
CASE001736,C001736,Solved,20,86127,Ongoing,Low
CASE001737,C001737,Solved,74,37866,Ongoing,High
CASE001738,C001738,Solved,353,88858,Closed,High
CASE001739,C001739,Pending,305,68556,Ongoing,Medium
CASE001740,C001740,Solved,253,61778,Hearing,Medium
CASE001741,C001741,Under Investigation,277,71283,Ongoing,Medium
CASE001742,C001742,Solved,38,80908,Ongoing,High
CASE001743,C001743,Solved,160,40482,Ongoing,Medium
CASE001744,C001744,Solved,191,32966,Closed,Low
CASE001745,C001745,Solved,46,28039,Hearing,Medium
CASE001746,C001746,Pending,231,93907,Ongoing,Low
CASE001747,C001747,Solved,309,42545,Ongoing,High
CASE001748,C001748,Solved,191,34852,Closed,Low
CASE001749,C001749,Solved,119,95122,Ongoing,Medium
CASE001750,C001750,Under Investigation,357,75573,Ongoing,Low
CASE001751,C001751,Solved,362,67841,Ongoing,Low
CASE001752,C001752,Solved,121,34889,Ongoing,Low
CASE001753,C001753,Solved,85,19541,Hearing,High
CASE001754,C001754,Solved,364,94151,Ongoing,Medium
CASE001755,C001755,Solved,129,65740,Ongoing,High
CASE001756,C001756,Solved,96,37955,Ongoing,Low
CASE001757,C001757,Solved,355,48609,Closed,Medium
CASE001758,C001758,Solved,34,71543,Ongoing,Low
CASE001759,C001759,Solved,291,12127,Hearing,Medium
CASE001760,C001760,Pending,285,11946,Ongoing,High
CASE001761,C001761,Solved,106,93558,Closed,Low
CASE001762,C001762,Pending,307,90315,Ongoing,Medium
CASE001763,C001763,Solved,22,84137,Closed,High
CASE001764,C001764,Pending,126,78985,Ongoing,Medium
CASE001765,C001765,Solved,179,17649,Ongoing,Medium
CASE001766,C001766,Under Investigation,129,22436,Closed,Medium
CASE001767,C001767,Pending,135,24863,Closed,Low
CASE001768,C001768,Solved,12,11626,Closed,Low
CASE001769,C001769,Solved,60,40571,Closed,Low
CASE001770,C001770,Solved,236,10025,Ongoing,High
CASE001771,C001771,Under Investigation,319,38573,Hearing,Low
CASE001772,C001772,Under Investigation,192,36460,Ongoing,High
CASE001773,C001773,Solved,273,16539,Ongoing,Medium
CASE001774,C001774,Under Investigation,63,99179,Ongoing,Low
CASE001775,C001775,Under Investigation,64,6614,Ongoing,Medium
